t,nocache_prefix_smooth_ms,cache_prefix_smooth_ms,nocache_postfix_smooth_ms,cache_postfix_smooth_ms
491,20.5061,15.3529,19.4918,14.2915
492,20.5429,15.3750,19.4737,14.2992
493,20.5551,15.3956,19.4932,14.3140
494,20.5660,15.3904,19.5127,14.3459
495,20.5755,15.3860,19.5485,14.3563
496,20.6034,15.3608,19.5588,14.3913
497,20.6273,15.3834,19.5287,14.4142
498,20.6410,15.4122,19.5237,14.4746
499,20.6202,15.4754,19.5750,14.5226
500,20.6750,15.4851,19.5741,14.5596
